Which weighs more, a ton of concrete or a ton of feathers?	They both weigh the same.
What period of time weighs the least?	A light-year.
I am a unit of chemical elements, but because I make up everything I can never be trusted. What am I?	An atom.
You are in a room with 3 monkeys. One has a banana, one has a stick, one has nothing. Which primate in the room is the smartest?	Me.
Number one is hydrogen. Twenty-five is manganese. Sodium is eleven. What list contains all of these?	The periodic table.
Cesium and Uranium went to the same school. Which school is it?	CSU.
What two periodic elements, when combined, heal?	Helium and Aluminium.
What is the most uninteresting of all the periodic elements?	Boron.
What is black when you buy it, red when you use it, and gray when you throw it away?	Charcoal.
What is the loneliest of all physics concepts?	The singularity.
What four periodic elements, when combined, make up something that terrifies criminals?	Carbon, Oxygen, Phosphorous, and Sulfur.
What element is derived from a Norse god?	Thorium.
H, Be, F, S, Mn, Kr, In, Gd, and Tl? What is the next in the sequence?	Fm. 
What number do Nickel and Neon make when combined?	Nine.
I come as a gas and I get in line with neon. I am also known as the home of a very super person. What am I?	Krypton.
//Source: https://icebreakerideas.com/science-riddles/
