You cannot keep me until you have given me. What am I?	Your word.
I am not alive, but I grow; I don't have lungs, but I need air; I don't have a mouth, but water kills me. What am I?	Fire.
Thousands lay up gold within this house, but no man-made it. Spears past counting guard this house, but no man wards it. What am I?	A beehive.
What begins with T ends with T and has T in it?	A teapot.
What is always in front of you but can't be seen?	The future.
I'm tall when I'm young, I'm short when I'm old. What am I?	A pencil.
If you don't keep me, I'll break. What am I?	A promise.
Which word becomes shorter when you add 2 letters to it?	Short.
Why can't a pirate ever finish the alphabet?	Because he gets lost at sea.
Add me to myself and multiply by 4. Divide me by 8 and you will have me once more. What number am I?	Any number.
What do you answer even though it never asks you questions?	A phone.
What building has the most stories?	A library.
Pronounced as 1 letter, And written with 3, 2 letters there are, and 2 only in me. I'm double, I'm single, I'm black blue, and grey, I'm read from both ends, and the same either way. What am I?	An eye.
You have me today, Tomorrow you'll have more; As your time passes, I'm not easy to store; I don't take up space, But I'm only in one place; I am what you saw, But not what you see. What am I?	Memories.
//Source: https://www.letsroam.com/explorer/riddles/
